Mois;Consommation mensuelle brute (MWh);Consommation mensuelle corrigée (MWh);Consommation des clients directs RTE (MWh)
2022-07;33611751.25;33273601.0;5682537.842
2022-01;52483929.23;52869734.0;5694762.255
2021-09;32317613.36;32065645.0;5662171.226
2021-08;31155738.93;31281441.0;5307254.256
2021-01;52933503.07;52192634.0;5677972.216
2020-08;31409643.77;30770651.0;4962174.425
2020-02;43259120.6;47464806.0;5330401.125
2019-09;32120872.35;32098649.09;5655886.988
2018-09;32618411.35;32539756.14;5937078.475
2018-02;50067557.89;46149362.54;5655067.852
2018-01;48587747.27;53819768.87;6125372.792
2017-12;51649819.7;51494971.23;6009479.351
2017-07;33803757.44;33756846.54;6152730.163
2017-06;33285106.76;32721578.17;5993138.819
2017-05;34943137.61;33630938.59;6123151.327
2016-11;44240538.03;43896381.37;6041979.003
2016-10;38553189.9;37272886.74;6099394.036
2016-02;46373809.47;47465574.64;5686986.758
2016-01;50098527.59;52859065.89;6128198.653
2014-11;40437185.34;43460197.01;5930551.042
2014-10;36148555.91;37483710.48;6147744.387
2014-08;30824080.65;31060670.8;5297060.69
2014-03;42861117.13;45010182.96;5914901.69
2023-10;33121419.9735401;34504609.0;5503712.789279
2023-02;41743677.0787463;42122844.5;4691870.219805
2022-06;32274956.47;32009394.0;5482880.711
2022-03;42923880.67;44620320.0;5684241.114
2022-02;43132877.77;45114966.0;5162001.528
2021-12;49475849.31;50759579.0;5596496.219
2021-07;32906573.14;33039163.0;5819027.903
2021-02;42968831.06;44833688.0;5273572.088
2020-12;47601175.93;49756376.0;5312531.385
2020-07;32935564.48;32877372.0;5350764.816
2020-05;30570256.16;30261003.0;4811329.584
2019-07;34510309.07;34077575.69;5946826.444
2019-02;44178717.21;45833669.56;5643459.204
2018-11;43648316.05;43723374.24;6025345.293
2018-06;32510528.77;32459244.16;5853744.612
2018-04;36183270.0;37142516.22;5688744.987
2018-03;48340662.29;45830476.36;6060266.563
2017-03;42658953.78;45916899.56;6055778.898
2016-09;33209526.85;33070127.1;5973921.726
2016-06;32785779.24;32698861.46;5650007.338
2015-11;40928864.89;44234318.49;5894835.406
2015-08;31474796.2;31332924.75;5436761.184
2015-02;48520220.92;45772076.97;5515356.513
2015-01;52341190.52;53103975.34;5895354.94
2014-12;49169563.15;51232845.18;5684204.536
2014-04;36080640.04;37362260.1;5873765.339
2014-02;44395798.41;46042681.16;5403569.155
2023-06;30739152.7748218;30035711.0;5236840.004147
2022-04;37099945.95;36260741.0;5274941.326
2021-06;31995097.12;31774983.0;5607279.29
2020-09;32284862.63;31703887.0;5347978.828
2019-10;36245606.89;37279960.35;5804152.898
2019-08;31484498.21;31266253.31;5495631.261
2019-04;37817361.03;37033712.62;5804628.725
2019-01;54010699.47;53469552.23;6128561.226
2018-12;47437538.9;50991191.89;5786421.43
2018-10;37009784.69;37075340.71;6116553.201
2018-08;32355865.49;32113225.39;5608487.169
2018-07;34530754.23;34158413.06;6103828.873
2017-09;33562296.28;33277380.37;6035052.222
2017-04;36546356.17;36356662.34;5897519.853
2016-12;50619888.19;50758649.09;5830105.828
2015-09;33377075.48;33444430.66;5982318.854
2015-05;33758265.42;33456055.8;6007831.484
2014-01;49169254.76;53222624.16;5775192.712
2023-09;31081452.1447882;30278890.0;5402895.806145
2023-08;30741863.4289129;30312149.5;5192280.41327099
2023-07;32103324.3766227;31928080.0;5518812.097399
2022-12;46159584.57;46473789.0;4628916.706
2022-11;37071803.14;39624904.0;4796813.316
2022-09;31664128.58;31130157.0;5229504.371
2022-05;32807580.02;32474794.0;5640738.661
2021-11;44519394.36;42831945.0;5586221.189
2021-10;36814100.35;36556516.0;5732915.257
2021-05;34945381.32;32358252.0;5702360.658
2021-03;43827564.45;44110410.25;5706637.3
2020-03;41377031.55;42754345.92;4929421.973
2020-01;49597241.21;52776925.0;5590692.126
2019-12;46838871.77;50732558.09;5054609.732
2019-11;43812302.43;43117559.35;5611439.396
2019-05;35488609.27;33503519.29;5940413.212
2019-03;43004432.64;45673724.41;6043922.8
2018-05;33888389.38;33328443.74;5875731.873
2017-11;44859720.71;43940730.08;6105689.458
2017-08;32042067.78;31898408.88;5629737.321
2017-02;43797770.22;45697240.09;5611517.468
2017-01;57325543.23;53390903.21;6145739.412
2016-08;32092271.66;31964113.35;5547121.949
2016-07;33666668.34;33650397.71;6062646.512
2016-04;39023206.94;37264340.06;5845704.887
2015-12;44571879.58;51261512.52;5629268.075
2015-10;39044073.41;37636928.47;6083752.942
2015-06;33095286.67;33065013.02;5903891.125
2015-04;36724502.34;37315174.37;5947231.206
2014-07;33729420.67;33914359.01;6064214.102
2014-06;32390020.31;32423630.58;5729046.368
2014-05;34468123.75;33711563.52;5962929.98
2023-01;47291183.6902289;49867242.5;4883076.892799
2022-10;32294717.44;34100464.0;5116786.927
2022-08;31759372.44;31320132.0;5167427.036
2021-04;37685906.27;35355953.0;5494481.473
2020-11;39802076.85;42154662.0;5264293.864
2020-10;38307352.89;37286458.0;5570373.728
2020-06;30719068.53;30530183.0;5011668.263
2020-04;30593474.61;32596340.0;4181013.128
2019-06;32462537.68;32011857.87;5686829.258
2017-10;36548184.32;37352692.3;6234992.142
2016-05;34692420.66;33703989.5;5797488.042
2016-03;47203837.5;45255917.83;6028950.342
2015-07;34762957.42;34386426.95;6042088.361
2015-03;45571125.38;45787547.43;6159344.264
2014-09;33076325.73;33122907.02;5917702.465
2023-05;31588324.8794939;31138856.5;5504712.252324
2023-04;35161546.4715111;34073547.5;5157461.36234
2023-03;40724732.556708;41978491.5;4884494.363289
